# sol, vortex, baseline, baseline_unc, slope, slope_unc, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, conv
55, 4, 745.35, 0.0084661, 8.13635, 0.125192, 12.4644, 0.000275614, 0.48901, 0.0102625, 97.6623, 4.41428, 7.99643
55, 5, 741.92, 0.00835045, -5.02888, 0.275334, 15.3752, 0.000111475, 0.464244, 0.00909363, 44.9925, 1.90078, 7.86414
55, 6, 746.467, 0.00628492, 0.0993972, 0.112103, 12.8835, 0.000334729, 0.287453, 0.00869078, 80.4079, 5.13401, 7.20281
52, 0, 738.72, 0.0105354, 0.71275, 1.71329, 15.869, 4.12627e-05, 0.512999, 0.0179883, 8.37922, 0.595923, 9.2083
52, 1, 745.594, 0.00714077, -0.988584, 0.421665, 13.1341, 0.00012278, 0.369533, 0.0153672, 21.1123, 1.65165, 8.59936
52, 2, 745.175, 0.00382605, 6.28646, 0.263376, 12.89, 4.47482e-05, 0.477832, 0.00869252, 17.5105, 0.593793, 8.46942
52, 3, 745.922, 0.0143539, 4.15299, 5.61792, 13.3646, 2.77183e-05, 0.434164, 0.0635621, 2, 0.538436, 7.25812
52, 4, 744.978, 0.00503722, -2.68178, 0.218407, 14.1261, 0.00013493, 0.321689, 0.010902, 28.6868, 1.82243, 7.22403
70, 0, 750.818, 0.0211683, -7.14581, 5.43018, 10.42, 2.6225e-05, 1.02974, 0.037422, 5.06832, 0.386218, 19.6339
70, 1, 749.676, 0.0356229, 3.0026, 3.81982, 13.6539, 0.000257143, 0.594483, 0.159619, 7.09815, 2.98313, 17.4884
84, 0, 751.5, 0.564831, 65.5467, 264.81, 10.7776, 0.000117398, 2.98828, 0.995117, 2.71217, 1.99784, 53.7195
84, 1, 752.33, 0.0154732, 1.59023, 3.95062, 15.8881, 2.89111e-05, 0.661909, 0.0254133, 5.38251, 0.421922, 12.2622
84, 2, 748.796, 0.0181189, 5.53069, 0.85285, 12.5604, 0.000186912, 0.439091, 0.0200685, 31.8827, 3.18481, 9.52602
83, 0, 749.17, 0.0311352, 16.2167, 7.08222, 11.9107, 4.6943e-05, 0.874197, 0.0482176, 6.1718, 0.687888, 14.472
83, 1, 749.157, 0.0124675, -9.75411, 3.05347, 11.9307, 1.91488e-05, 0.749664, 0.0179924, 5.75269, 0.289342, 12.1943
83, 2, 749.95, 0.00981193, 3.61319, 1.24568, 11.3286, 3.60756e-05, 0.588705, 0.0138131, 11.2365, 0.549016, 9.57513
83, 3, 751.277, 0.00880017, 0.817898, 0.140458, 14.8521, 0.000558112, 0.238797, 0.0108368, 91.7175, 9.0199, 7.10363
77, 0, 749.154, 0.0117113, 5.15171, 0.368454, 13.6868, 0.00017049, 0.531214, 0.0145711, 46.8866, 2.76743, 12.1981
77, 1, 748.289, 0.030045, 6.59611, 2.60766, 13.3305, 0.000225857, 0.412038, 0.249377, 2, 1.75843, 10.804
77, 2, 748.027, 0.0203172, -7.94064, 0.437346, 11.6055, 0.000251825, 0.486585, 0.018059, 71.3924, 4.929, 7.78234
77, 3, 748.254, 0.0139102, 4.48209, 1.24649, 13.2979, 0.000194848, 0.252544, 0.0235677, 14.9024, 2.82154, 7.76715
48, 0, 738.667, 0.0225543, -0.80676, 0.290465, 15.5267, 0.000640399, 0.38645, 0.0208203, 119.353, 12.4496, 8.91988
48, 1, 745.56, 0.0408474, 0.933371, 0.273473, 12.8843, 0.0010333, 0.385115, 0.0379982, 219.455, 26.5464, 7.36507
48, 2, 738.757, 0.00910071, 3.17326, 0.0871862, 18.481, 0.000366697, 0.465673, 0.00912303, 162.656, 6.63895, 7.3526
48, 3, 739.059, 0.0112655, -3.57001, 0.161762, 15.3209, 0.000506229, 0.392206, 0.0144272, 101.754, 8.03238, 7.15825
41, 0, 740.771, 0.00882598, -0.0935138, 1.06934, 13.3039, 3.74949e-05, 0.651998, 0.0144454, 11.1883, 0.511366, 12.9897
41, 1, 738.539, 0.0115243, 11.1193, 0.871283, 11.6511, 9.80019e-05, 0.544312, 0.0207356, 17.4172, 1.33805, 11.9976
41, 2, 739.156, 0.0174869, -7.6879, 0.611258, 14.1436, 0.000337801, 0.48928, 0.0314801, 37.7349, 4.83874, 9.75705
41, 3, 733.796, 0.0112976, 4.62531, 1.07469, 15.9784, 0.000135777, 0.324471, 0.0249697, 12.7738, 1.88526, 8.03849
41, 4, 740.763, 0.01221, -2.23991, 0.648362, 13.3274, 0.000144745, 0.39799, 0.0156617, 27.5177, 2.3133, 7.57309
41, 5, 739.7, 0.0136518, 5.39182, 0.293366, 12.2339, 0.000287574, 0.346825, 0.01289, 69.8497, 5.19218, 7.27255
